cell_id,prov_name,dist_name,sect_name,province_name,district_name,sector_name,cell_name,total_nightlight,mean_nightlight,median_nightlight,max_nightlight,min_nightlight,std_nightlight,pixel_count,lit_pixel_count,year,lit_pixel_percentage
RWA.1.1.7.1_1,Amajyaruguru,Burera,Gitovu,Unknown_Province,Unknown_District,Unknown_Sector,Mariba,22.27113151550293,0.13100665807724,0.19730639457702637,0.2883732318878174,0.0,0.12083055078983307,170,93,2020,54.70588235294118
RWA.1.1.7.1_1,Amajyaruguru,Burera,Gitovu,Unknown_Province,Unknown_District,Unknown_Sector,Mariba,34.25733184814453,0.20151372253894806,0.3210507035255432,0.4535140097141266,0.0,0.1852990835905075,170,93,2024,54.70588235294118
RWA.1.1.7.1_1,Amajyaruguru,Burera,Gitovu,Unknown_Province,Unknown_District,Unknown_Sector,Mariba,3.4408209323883057,0.020240122452378273,0.01173350214958191,0.07565538585186005,-9.078958100872114e-05,0.02253030613064766,170,92,2015,54.11764705882353
RWA.1.1.7.2_1,Amajyaruguru,Burera,Gitovu,Unknown_Province,Unknown_District,Unknown_Sector,Musasa,15.658049583435059,0.10167564451694489,0.0,0.3985203206539154,0.0,0.1283809393644333,154,61,2020,39.61038961038961
RWA.1.1.7.2_1,Amajyaruguru,Burera,Gitovu,Unknown_Province,Unknown_District,Unknown_Sector,Musasa,28.680835723876953,0.18623919785022736,0.0,1.0940585136413574,0.0,0.24377033114433289,154,61,2024,39.61038961038961
RWA.1.1.7.2_1,Amajyaruguru,Burera,Gitovu,Unknown_Province,Unknown_District,Unknown_Sector,Musasa,2.67734694480896,0.017385369166731834,0.0,0.17164599895477295,0.0,0.027448460459709167,154,61,2015,39.61038961038961
RWA.1.1.7.3_1,Amajyaruguru,Burera,Gitovu,Unknown_Province,Unknown_District,Unknown_Sector,Runoga,6.933331489562988,0.09904759377241135,0.0,0.28151291608810425,0.0,0.1253713071346283,70,27,2020,38.57142857142858
RWA.1.1.7.3_1,Amajyaruguru,Burera,Gitovu,Unknown_Province,Unknown_District,Unknown_Sector,Runoga,11.439537048339844,0.16342195868492126,0.0,0.4955785572528839,0.0,0.20734328031539917,70,27,2024,38.57142857142858
RWA.1.1.7.3_1,Amajyaruguru,Burera,Gitovu,Unknown_Province,Unknown_District,Unknown_Sector,Runoga,1.1422441005706787,0.01631777361035347,0.0,0.061872657388448715,0.0,0.02120356447994709,70,27,2015,38.57142857142858
RWA.1.1.8.1_1,Amajyaruguru,Burera,Kagogo,Unknown_Province,Unknown_District,Unknown_Sector,Kabaya,6.3182196617126465,0.1316295713186264,0.0,0.3138711154460907,0.0,0.13789090514183044,48,23,2020,47.91666666666667
RWA.1.1.8.1_1,Amajyaruguru,Burera,Kagogo,Unknown_Province,Unknown_District,Unknown_Sector,Kabaya,10.175107955932617,0.2119814157485962,0.0,0.5830233693122864,0.0,0.22669154405593872,48,23,2024,47.91666666666667
RWA.1.1.8.1_1,Amajyaruguru,Burera,Kagogo,Unknown_Province,Unknown_District,Unknown_Sector,Kabaya,1.1585044860839844,0.024135509505867958,0.0,0.08820502460002899,0.0,0.02860197238624096,48,23,2015,47.91666666666667
RWA.1.1.8.2_1,Amajyaruguru,Burera,Kagogo,Unknown_Province,Unknown_District,Unknown_Sector,Kayenzi,9.966455459594727,0.12458069622516632,0.0,0.5748254060745239,0.0,0.15465763211250305,80,33,2020,41.25
