cell_id,province_name,district_name,sector_name,cell_name,elderly_60_plus_2020,general_2020,children_under_five_2020,youth_15_24_2020,men_2020,women_2020,building_count
RWA.1.2.1.4_1,Amajyaruguru,Gakenke,Busengo,Kamina,163.534862,3067.459614,414.238065,599.526988,1446.713982,1620.7456320000001,670.0
RWA.1.2.1.5_1,Amajyaruguru,Gakenke,Busengo,Kirabo,175.32048799999998,3253.151523,437.99699000000004,636.6153390000001,1533.661666,1719.489857,581.0
RWA.1.2.1.6_1,Amajyaruguru,Gakenke,Busengo,Mwumba,160.802776,3016.213272,407.31762000000003,589.511024,1422.5445359999999,1593.668736,659.0
RWA.1.2.1.7_1,Amajyaruguru,Gakenke,Busengo,Ruhanga,117.9395,2179.800268,293.052186,425.909656,1027.477676,1152.322592,401.0
RWA.1.2.2.1_1,Amajyaruguru,Gakenke,Coko,Kiruku,189.96026199999997,2849.722882,346.036051,550.358408,1358.541615,1491.1812670000002,983.0
RWA.1.2.2.2_1,Amajyaruguru,Gakenke,Coko,Mbirima,369.237808,5546.050885,675.574648,1068.12533,2642.01078,2904.040105,674.0
RWA.1.2.2.3_1,Amajyaruguru,Gakenke,Coko,Nyange,265.14443199999994,3983.15664,485.01792,767.409968,1897.783136,2085.373504,1083.0
RWA.1.2.2.4_1,Amajyaruguru,Gakenke,Coko,Nyanza,273.142748,4103.977035,499.538136,790.995898,1955.6710360000002,2148.305999,828.0
RWA.1.2.3.1_1,Amajyaruguru,Gakenke,Cyabingo,Muhaza,204.861637,3192.884165,371.633842,637.011083,1502.40875,1690.4754149999999,954.0
RWA.1.2.3.2_1,Amajyaruguru,Gakenke,Cyabingo,Muhororo,263.65116,4078.923072,470.34084,811.646349,1920.19092,2158.732152,874.0
RWA.1.2.3.3_1,Amajyaruguru,Gakenke,Cyabingo,Muramba,195.94307999999998,3031.417536,349.55292000000003,603.207987,1427.06796,1604.349576,837.0
RWA.1.2.3.4_1,Amajyaruguru,Gakenke,Cyabingo,Mutanda,182.62306999999998,2850.251846,332.149293,567.422453,1342.317886,1507.93396,900.0
RWA.1.2.3.5_1,Amajyaruguru,Gakenke,Cyabingo,Rukore,177.102495,2758.495807,320.193528,548.580821,1298.659822,1459.835985,935.0
RWA.1.2.4.1_1,Amajyaruguru,Gakenke,Gakenke,Buheta,282.963435,4696.994350999999,620.344566,983.4309470000001,2206.4100320000002,2490.584279,1216.0
