cell_id,province_name,district_name,sector_name ,cell_name
RWA.1.2.18.2_1,Amajyaruguru,Gakenke,Rusasa,Kamonyi
RWA.1.2.18.3_1,Amajyaruguru,Gakenke,Rusasa,Murambi
RWA.1.2.18.4_1,Amajyaruguru,Gakenke,Rusasa,Nyundo
RWA.1.2.18.5_1,Amajyaruguru,Gakenke,Rusasa,Rumbi
RWA.1.2.18.6_1,Amajyaruguru,Gakenke,Rusasa,Rurembo
RWA.1.2.19.1_1,Amajyaruguru,Gakenke,Rushashi,Burimba
RWA.1.2.19.2_1,Amajyaruguru,Gakenke,Rushashi,Busanane
RWA.1.2.19.3_1,Amajyaruguru,Gakenke,Rushashi,Joma
RWA.1.2.19.4_1,Amajyaruguru,Gakenke,Rushashi,Kageyo
RWA.1.2.19.5_1,Amajyaruguru,Gakenke,Rushashi,Mbogo
RWA.1.2.19.6_1,Amajyaruguru,Gakenke,Rushashi,Razi
RWA.1.2.19.7_1,Amajyaruguru,Gakenke,Rushashi,Rwankuba
RWA.1.2.19.8_1,Amajyaruguru,Gakenke,Rushashi,Shyombwe
RWA.1.3.1.1_1,Amajyaruguru,Gicumbi,Bukure,Karenge
RWA.1.3.1.2_1,Amajyaruguru,Gicumbi,Bukure,Kigabiro
RWA.1.3.1.3_1,Amajyaruguru,Gicumbi,Bukure,Kivumu
RWA.1.3.1.4_1,Amajyaruguru,Gicumbi,Bukure,Rwesero
RWA.1.3.2.1_1,Amajyaruguru,Gicumbi,Bwisige,Bwisige
RWA.1.3.2.2_1,Amajyaruguru,Gicumbi,Bwisige,Gihuke
RWA.1.3.2.3_1,Amajyaruguru,Gicumbi,Bwisige,Mukono
RWA.1.3.2.4_1,Amajyaruguru,Gicumbi,Bwisige,Nyabushingitwa
RWA.1.3.3.1_1,Amajyaruguru,Gicumbi,Byumba,Gacurabwenge
RWA.1.3.3.2_1,Amajyaruguru,Gicumbi,Byumba,Gisuna
RWA.1.3.3.3_1,Amajyaruguru,Gicumbi,Byumba,Kibali
RWA.1.3.3.4_1,Amajyaruguru,Gicumbi,Byumba,Kivugiza
RWA.1.3.3.5_1,Amajyaruguru,Gicumbi,Byumba,Murama
RWA.1.3.3.6_1,Amajyaruguru,Gicumbi,Byumba,Ngondore
RWA.1.3.3.7_1,Amajyaruguru,Gicumbi,Byumba,Nyakabungo
RWA.1.3.3.8_1,Amajyaruguru,Gicumbi,Byumba,Nyamabuye
RWA.1.3.3.9_1,Amajyaruguru,Gicumbi,Byumba,Nyarutarama
RWA.1.3.4.1_1,Amajyaruguru,Gicumbi,Cyumba,Gasunzu
RWA.1.3.4.2_1,Amajyaruguru,Gicumbi,Cyumba,Muhambo
