cell_id,elderly_60,general_pop,children_under5,youth_15_24,men_2020,women_2020,building_count
RWA.3.7.4.7_1,231,3986,531,785,1938,2047,753
RWA.3.7.5.1_1,264,6441,915,1518,3188,3252,1589
RWA.3.7.5.2_1,433,10551,1498,2487,5225,5325,4117
RWA.3.7.5.3_1,440,10439,1476,2442,5196,5242,2002
RWA.3.7.5.4_1,285,6944,986,1637,3438,3505,1858
RWA.3.7.5.5_1,185,4489,639,1056,2221,2268,873
RWA.3.7.6.1_1,179,2674,339,517,1490,1183,619
RWA.3.7.6.2_1,273,4100,521,795,2280,1819,1103
RWA.3.7.6.3_1,246,3670,465,710,2045,1624,1026
RWA.3.7.6.4_1,377,5638,715,1091,3140,2497,1890
RWA.3.7.6.5_1,155,2328,296,451,1293,1034,796
RWA.3.7.6.6_1,118,1761,223,341,981,779,447
RWA.3.7.6.7_1,233,3488,442,675,1943,1545,755
RWA.3.7.6.8_1,140,2094,266,405,1165,928,584
RWA.3.7.6.9_1,410,6628,861,1336,3611,3017,2088
